title,abstract,keywords,authors,url,from_source
Automatically Verifying Expressive Epistemic Properties of Programs,"We propose a new approach to the verification of epistemic properties of programmes. First, we introduce the new ``program-epistemic'' logic L_PK, which is strictly richer and more general than similar formalisms appearing in the literature. To solve the verification problem in an efficient way, we introduce a translation from our language L_PK into first-order logic. Then, we show and prove correct a reduction from the model checking problem for program-epistemic formulas to the satisfiability of their first-order translation. Both our logic and our translation can handle richer specification w.r.t. the state of the art, allowing us to express the knowledge of agents about facts pertaining to programs (i.e., agents' knowledge before a program is executed as well as after is has been executed). Furthermore, we implement our translation in Haskell in a general way (i.e., independently of the programs in the logical statements), and we use existing SMT-solvers to check satisfaction of L_PK formulas on a benchmark example in the AI/agency field.","[""KRR: Knowledge Representation Languages""]","[""Francesco Belardinelli"", ""Ioana Boureanu"", ""Vadim Malvone"", ""Fortunat Rajaona""]",https://ojs.aaai.org/index.php/AAAI/article/view/25769/25541,AAAI
Attribute and Structure Preserving Graph Contrastive Learning,"Graph Contrastive Learning (GCL) has drawn much research interest due to its strong ability to capture both graph structure and node attribute information in a self-supervised manner. Current GCL methods usually adopt Graph Neural Networks (GNNs) as the base encoder, which typically relies on the homophily assumption of networks and overlooks node similarity in the attribute space. There are many scenarios where such assumption cannot be satisfied, or node similarity plays a crucial role. In order to design a more robust mechanism, we develop a novel attribute and structure preserving graph contrastive learning framework, named ASP, which comprehensively and efficiently preserves node attributes while exploiting graph structure. Specifically, we consider three different graph views in our framework, i.e., original view, attribute view, and global structure view. Then, we perform contrastive learning across three views in a joint fashion, mining comprehensive graph information. We validate the effectiveness of the proposed framework on various real-world networks with different levels of homophily. The results demonstrate the superior performance of our model over the representative baselines.","[""ML: Graph-based Machine Learning"", ""ML: Unsupervised & Self-Supervised Learning"", ""ML: Representation Learning"", ""ML: Deep Neural Network Algorithms"", ""ML: Classification and Regression""]","[""Jialu Chen"", ""Gang Kou""]",https://ojs.aaai.org/index.php/AAAI/article/view/25858/25630,AAAI
Evaluating and Improving Interactions with Hazy Oracles,"Many AI systems integrate sensor inputs, world knowledge, and human-provided information to perform inference. While such systems often treat the human input as flawless, humans are better thought of as hazy oracles whose input may be ambiguous or outside of the AI system's understanding. In such situations it makes sense for the AI system to defer its inference while it disambiguates the human-provided information by, for example, asking the human to rephrase the query. Though this approach has been considered in the past, current work is typically limited to application-specific methods and non-standardized human experiments. We instead introduce and formalize a general notion of deferred inference. Using this formulation, we then propose a novel evaluation centered around the Deferred Error Volume (DEV) metric, which explicitly considers the tradeoff between error reduction and the additional human effort required to achieve it. We demonstrate this new formalization and an innovative deferred inference method on the disparate tasks of Single-Target Video Object Tracking and Referring Expression Comprehension, ultimately reducing error by up to 48% without any change to the underlying model or its parameters.","[""HAI: Human-Computer Interaction"", ""ML: Evaluation and Analysis (Machine Learning)""]","[""Stephan J. Lemmer"", ""Jason J. Corso""]",https://ojs.aaai.org/index.php/AAAI/article/view/25746/25518,AAAI
End-to-End Learning for Optimization via Constraint-Enforcing Approximators,"In many real-world applications, predictive methods are used to provide inputs for downstream optimization problems. It has been shown that using the downstream task-based objective to learn the intermediate predictive model is often better than using only intermediate task objectives, such as prediction error. The learning task in the former approach is referred to as end-to-end learning. The difficulty in end-to-end learning lies in differentiating through the optimization problem. Therefore, we propose a neural network architecture that can learn to approximately solve these optimization problems, particularly ensuring its output satisfies the feasibility constraints via alternate projections. We show these projections converge at a geometric rate to the exact projection. Our approach is more computationally efficient than existing methods as we do not need to solve the original optimization problem at each iteration. Furthermore, our approach can be applied to a wider range of optimization problems. We apply this to a shortest path problem for which the first stage forecasting problem is a computer vision task of predicting edge costs from terrain maps, a capacitated multi-product newsvendor problem, and a maximum matching problem. We show that this method out-performs existing approaches in terms of final task-based loss and training time.","[""ML: Optimization"", ""RU: Stochastic Optimization""]","[""Rares Cristian"", ""Pavithra Harsha"", ""Georgia Perakis"", ""Brian L Quanz"", ""Ioannis Spantidakis""]",https://ojs.aaai.org/index.php/AAAI/article/view/25884/25656,AAAI
Tagging before Alignment: Integrating Multi-Modal Tags for Video-Text Retrieval,"Vision-language alignment learning for video-text retrieval arouses a lot of attention in recent years. Most of the existing methods either transfer the knowledge of image-text pretraining model to video-text retrieval task without fully exploring the multi-modal information of videos, or simply fuse multi-modal features in a brute force manner without explicit guidance. In this paper, we integrate multi-modal information in an explicit manner by tagging, and use the tags as the anchors for better video-text alignment. Various pretrained experts are utilized for extracting the information of multiple modalities, including object, person, motion, audio, etc. To take full advantage of these information, we propose the TABLE (TAgging Before aLignmEnt) network, which consists of a visual encoder, a tag encoder, a text encoder, and a tag-guiding cross-modal encoder for jointly encoding multi-frame visual features and multi-modal tags information. Furthermore, to strengthen the interaction between video and text, we build a joint cross-modal encoder with the triplet input of [vision, tag, text] and perform two additional supervised tasks, Video Text Matching (VTM) and Masked Language Modeling (MLM). Extensive experimental results demonstrate that the TABLE model is capable of achieving State-Of-The-Art (SOTA) performance on various video-text retrieval benchmarks, including MSR-VTT, MSVD, LSMDC and DiDeMo.","[""CV: Image and Video Retrieval"", ""CV: Language and Vision"", ""CV: Multi-modal Vision"", ""CV: Representation Learning for Vision"", ""CV: Video Understanding & Activity Analysis""]","[""Yizhen Chen"", ""Jie Wang"", ""Lijian Lin"", ""Zhongang Qi"", ""Jin Ma"", ""Ying Shan""]",https://ojs.aaai.org/index.php/AAAI/article/view/25113/24885,AAAI
Data-Driven Machine Learning Models for a Multi-Objective Flapping Fin Unmanned Underwater Vehicle Control System,"Flapping-fin unmanned underwater vehicle (UUV) propulsion systems provide high maneuverability for naval tasks such as surveillance and terrain exploration. Recent work has explored the use of time-series neural network surrogate models to predict thrust from vehicle design and fin kinematics. We develop a search-based inverse model that leverages a kinematics-to-thrust neural network model for control system design. Our inverse model finds a set of fin kinematics with the multi-objective goal of reaching a target thrust and creating a smooth kinematic transition between flapping cycles. We demonstrate how a control system integrating this inverse model can make online, cycle-to-cycle adjustments to prioritize different system objectives.","[""Machine Learning"", ""Inverse Model"", ""Multi-objective Optimization"", ""Generalized Pattern Search"", ""Neural Network"", ""Control System"", ""Deep Learning"", ""Surrogate Model"", ""UUV"", ""Pattern Search"", ""Flapping Fin"", ""Time-series"", ""Gait To Thrust"", ""LSTM"", ""Online"", ""Time Series Modelling"", ""Raspberry Pi"", ""Hooke Jeeves Pattern Search"", ""Fin Kinematics""]","[""Julian Lee"", ""Kamal Viswanath"", ""Alisha Sharma"", ""Jason Geder"", ""Marius Pruessner"", ""Brian Zhou""]",https://ojs.aaai.org/index.php/AAAI/article/view/26863/26635,AAAI
COSMOS: Catching Out-of-Context Image Misuse Using Self-Supervised Learning,"Despite the recent attention to DeepFakes, one of the most prevalent ways to mislead audiences on social media is the use of unaltered images in a new but false context. We propose a new method that automatically highlights out-of-context image and text pairs, for assisting fact-checkers. Our key insight is to leverage the grounding of images with text to distinguish out-of-context scenarios that cannot be disambiguated with language alone. We propose a self-supervised training strategy where we only need a set of captioned images. At train time, our method learns to selectively align individual objects in an image with textual claims, without explicit supervision. At test time, we check if both captions correspond to the same object(s) in the image but are semantically different, which allows us to make fairly accurate out-of-context predictions. Our method achieves 85% out-of-context detection accuracy. To facilitate benchmarking of this task, we create a large-scale dataset of 200K images with 450K textual captions from a variety of news websites, blogs, and social media posts","[""General""]","[""Shivangi Aneja"", ""Chris Bregler"", ""Matthias Niessner""]",https://ojs.aaai.org/index.php/AAAI/article/view/26648/26420,AAAI
Progress and Limitations of Deep Networks to Recognize Objects in Unusual Poses,"Deep networks should be robust to rare events if they are to be successfully deployed in high-stakes real-world applications. Here we study the capability of deep networks to recognize objects in unusual poses. We create a synthetic dataset of images of objects in unusual orientations, and evaluate the robustness of a collection of 38 recent and competitive deep networks for image classification. We show that classifying these images is still a challenge for all networks tested, with an average accuracy drop of 29.5% compared to when the objects are presented
upright. This brittleness is largely unaffected by various design choices, such as training losses, architectures, dataset modalities, and data-augmentation schemes. However, networks trained on very large datasets substantially outperform others, with the best network testedâ€”Noisy Student trained on JFT-300Mâ€”showing a relatively small accuracy drop of only 14.5% on unusual poses. Nevertheless, a visual inspection of the failures of Noisy Student reveals a remaining gap in robustness with humans. Furthermore, combining multiple object transformationsâ€?D-rotations and scalingâ€”further degrades the performance of all networks. Our results provide another measurement of the robustness of deep networks to consider when using them in the real world. Code and datasets are available at https://github.com/amro-kamal/ObjectPose.","[""CV: Adversarial Attacks & Robustness"", ""CV: Scene Analysis & Understanding"", ""ML: Deep Neural Architectures""]","[""Amro Abbas"", ""St\u00e9phane Deny""]",https://ojs.aaai.org/index.php/AAAI/article/view/25087/24859,AAAI
Learning from Good Trajectories in Offline Multi-Agent Reinforcement Learning,"Offline multi-agent reinforcement learning (MARL) aims to learn effective multi-agent policies from pre-collected datasets, which is an important step toward the deployment of multi-agent systems in real-world applications. However, in practice, each individual behavior policy that generates multi-agent joint trajectories usually has a different level of how well it performs. e.g., an agent is a random policy while other agents are medium policies. In the cooperative game with global reward, one agent learned by existing offline MARL often inherits this random policy, jeopardizing the utility of the entire team. In this paper, we investigate offline MARL with explicit consideration on the diversity of agent-wise trajectories and propose a novel framework called Shared Individual Trajectories (SIT) to address this problem. Specifically, an attention-based reward decomposition network assigns the credit to each agent through a differentiable key-value memory mechanism in an offline manner. These decomposed credits are then used to reconstruct the joint offline datasets into prioritized experience replay with individual trajectories, thereafter agents can share their good trajectories and conservatively train their policies with a graph attention network (GAT) based critic. We evaluate our method in both discrete control (i.e., StarCraft II and multi-agent particle environment) and continuous control (i.e., multi-agent mujoco). The results indicate that our method achieves significantly better results in complex and mixed offline multi-agent datasets, especially when the difference of data quality between individual trajectories is large.","[""MAS: Multiagent Learning"", ""MAS: Coordination and Collaboration""]","[""Qi Tian"", ""Kun Kuang"", ""Furui Liu"", ""Baoxiang Wang""]",https://ojs.aaai.org/index.php/AAAI/article/view/26379/26151,AAAI
"EasyRec: An Easy-to-Use, Extendable and Efficient Framework for Building Industrial Recommendation Systems","We present EasyRec, an easy-to-use, extendable and efficient recommendation framework for building industrial recommendation systems. Our EasyRec framework is superior in the following aspects:first, EasyRec adopts a modular and pluggable design pattern to reduce the efforts to build custom models; second, EasyRec implements hyper-parameter optimization and feature selection algorithms to improve model performance automatically; third, EasyRec applies online learning to adapt to the ever-changing data distribution. The code is released: https://github.com/alibaba/EasyRec.","[""Recommedation Framework"", ""Hyperparameter Optimization"", ""Distributed Training"", ""Large Scale""]","[""Mengli Cheng"", ""Yue Gao"", ""Guoqiang Liu"", ""HongSheng Jin""]",https://ojs.aaai.org/index.php/AAAI/article/view/27065/26837,AAAI
Predict+Optimize for Packing and Covering LPs with Unknown Parameters in Constraints,"Predict+Optimize is a recently proposed framework which combines machine learning and constrained optimization, tackling optimization problems that contain parameters that are unknown at solving time. The goal is to predict the unknown parameters and use the estimates to solve for an estimated optimal solution to the optimization problem. However, all prior works have focused on the case where unknown parameters appear only in the optimization objective and not the constraints, for the simple reason that if the constraints were not known exactly, the estimated optimal solution might not even be feasible under the true parameters. The contributions of this paper are two-fold. First, we propose a novel and practically relevant framework for the Predict+Optimize setting, but with unknown parameters in both the objective and the constraints. We introduce the notion of a correction function, and an additional penalty term in the loss function, modelling practical scenarios where an estimated optimal solution can be modified into a feasible solution after the true parameters are revealed, but at an additional cost. Second, we propose a corresponding algorithmic approach for our framework, which handles all packing and covering linear programs. Our approach is inspired by the prior work of Mandi and Guns, though with crucial modifications and re-derivations for our very different setting. Experimentation demonstrates the superior empirical performance of our method over classical approaches.","[""CSO: Constraint Optimization"", ""CSO: Constraint Programming"", ""CSO: Other Foundations of Constraint Satisfaction & Optimization""]","[""Xinyi Hu"", ""Jasper C.H. Lee"", ""Jimmy H.M. Lee""]",https://ojs.aaai.org/index.php/AAAI/article/view/25513/25285,AAAI
Prompt-Augmented Linear Probing: Scaling beyond the Limit of Few-Shot In-Context Learners,"Through in-context learning (ICL), large-scale language models are effective few-shot learners without additional model fine-tuning.  However, the ICL performance does not scale well with the number of available training sample as it is limited by the inherent input length constraint of the underlying language model. Meanwhile, many studies have revealed that language models are also powerful feature extractors, allowing them to be utilized in a black-box manner and enabling the linear probing paradigm, where lightweight discriminators are trained on top of the pre-extracted input representations. This paper proposes prompt-augmented linear probing (PALP), a hybrid of linear probing and ICL, which leverages the best of both worlds. PALP inherits the scalability of linear probing and the capability of enforcing language models to derive more meaningful representations via tailoring input into a more conceivable form. Throughout in-depth investigations on various datasets, we verified that PALP significantly closes the gap between ICL in the data-hungry scenario and fine-tuning in the data-abundant scenario with little training overhead, potentially making PALP a strong alternative in a black-box scenario.","[""SNLP: Language Models"", ""SNLP: Text Classification""]","[""Hyunsoo Cho"", ""Hyuhng Joon Kim"", ""Junyeob Kim"", ""Sang-Woo Lee"", ""Sang-goo Lee"", ""Kang Min Yoo"", ""Taeuk Kim""]",https://ojs.aaai.org/index.php/AAAI/article/view/26495/26267,AAAI
Second-Order Quantified Boolean Logic,"Second-order quantified Boolean formulas (SOQBFs) generalize quantified Boolean formulas (QBFs) by admitting second-order quantifiers on function variables in addition to first-order quantifiers on atomic variables. Recent endeavors establish that the complexity of SOQBF satisfiability corresponds to the exponential-time hierarchy (EXPH), similar to that of QBF satisfiability corresponding to the polynomial-time hierarchy (PH). This fact reveals the succinct expression power of SOQBFs in encoding decision problems not efficiently doable by QBFs. In this paper, we investigate the second-order quantified Boolean logic with the following main results: First, we present a procedure of quantifier elimination converting SOQBFs to QBFs and a game interpretation of SOQBF semantics. Second, we devise a sound and complete refutation-proof system for SOQBF. Third, we develop an algorithm for countermodel extraction from a refutation proof. Finally, we show potential applications of SOQBFs in system design and multi-agent planning. With these advances, we anticipate practical tools for development.","[""CSO: Other Foundations of Constraint Satisfaction & Optimization"", ""CSO: Constraint Satisfaction"", ""CSO: Satisfiability"", ""KRR: Automated Reasoning and Theorem Proving"", ""KRR: Computational Complexity of Reasoning"", ""KRR: Other Foundations of Knowledge Representation & Reasoning""]","[""Jie-Hong R. Jiang""]",https://ojs.aaai.org/index.php/AAAI/article/view/25515/25287,AAAI
Interactive Concept Bottleneck Models,"Concept bottleneck models (CBMs) are interpretable neural networks that first predict labels for human-interpretable concepts relevant to the prediction task, and then predict the final label based on the concept label predictions. We extend CBMs to interactive prediction settings where the model can query a human collaborator for the label to some concepts. We develop an interaction policy that, at prediction time, chooses which concepts to request a label for so as to maximally improve the final prediction. We demonstrate that a simple policy combining concept prediction uncertainty and influence of the concept on the final prediction achieves strong performance and outperforms static approaches as well as active feature acquisition methods proposed in the literature. We show that the interactive CBM can achieve accuracy gains of 5-10% with only 5 interactions over competitive baselines on the Caltech-UCSD Birds, CheXpert and OAI datasets.","[""HAI: Human-Machine Teams"", ""CV: Applications"", ""CV: Interpretability and Transparency"", ""HAI: Human-Computer Interaction"", ""ML: Calibration & Uncertainty Quantification"", ""ML: Transparent"", ""Interpretable"", ""Explainable ML"", ""RU: Applications""]","[""Kushal Chauhan"", ""Rishabh Tiwari"", ""Jan Freyberg"", ""Pradeep Shenoy"", ""Krishnamurthy Dvijotham""]",https://ojs.aaai.org/index.php/AAAI/article/view/25736/25508,AAAI
Exploring Artificial Intelligence in English Language Arts with StoryQ,"Exploring Artificial Intelligence (AI) in English Language Arts (ELA) with StoryQ is a 10-hour curriculum module designed for high school ELA classes. The module introduces students to fundamental AI concepts and essential machine learning workflow using StoryQ, a web-based GUI environment for Grades 6-12 learners. In this module, students work with unstructured text data and learn to train, test, and improve text classification models such as intent recognition, clickbait filter, and sentiment analysis. As they interact with machine-learning language models deeply, students also gain a nuanced understanding of language and how to wield it, not just as a data structure, but as a tool in our human-human encounters as well. The current version contains eight lessons, all delivered through a full-featured online learning and teaching platform. Computers and Internet access are required to implement the module. The module was piloted in an ELA class in the Spring of 2022, and the student learning outcomes were positive. The module is currently undergoing revision and will be further tested and improved in Fall 2022.","[""Machine Learning"", ""K-12 AI Education"", ""High School"", ""English Language Arts"", ""Curriculum Module"", ""Learning Technology"", ""Text Classification""]","[""Jie Chao"", ""Rebecca Ellis"", ""Shiyan Jiang"", ""Carolyn Ros\u00e9"", ""William Finzer"", ""Cansu Tatar"", ""James Fiacco"", ""Kenia Wiedemann""]",https://ojs.aaai.org/index.php/AAAI/article/view/26899/26671,AAAI
KT-Net: Knowledge Transfer for Unpaired 3D Shape Completion,"Unpaired 3D object completion aims to predict a complete 3D shape from an incomplete input without knowing the correspondence between the complete and incomplete shapes. In this paper, we propose the novel KTNet to solve this task from the new perspective of knowledge transfer. KTNet elaborates a teacher-assistant-student network to establish multiple knowledge transfer processes. Specifically, the teacher network takes complete shape as input and learns the knowledge of complete shape. The student network takes the incomplete one as input and restores the corresponding complete shape. And the assistant modules not only help to transfer the knowledge of complete shape from the teacher to the student, but also judge the learning effect of the student network. As a result, KTNet makes use of a more comprehensive understanding to establish the geometric correspondence between complete and incomplete shapes in a perspective of knowledge transfer, which enables more detailed geometric inference for generating high-quality complete shapes. We conduct comprehensive experiments on several datasets, and the results show that our method outperforms previous methods of unpaired point cloud completion by a large margin. Code is available at https://github.com/a4152684/KT-Net.","[""CV: 3D Computer Vision"", ""CV: Applications""]","[""Zhen Cao"", ""Wenxiao Zhang"", ""Xin Wen"", ""Zhen Dong"", ""Yu-Shen Liu"", ""Xiongwu Xiao"", ""Bisheng Yang""]",https://ojs.aaai.org/index.php/AAAI/article/view/25101/24873,AAAI
How to Cut a Discrete Cake Fairly,"Cake-cutting is a fundamental model of dividing a heterogeneous resource, such as land, broadcast time, and advertisement space. In this study, we consider the problem of dividing indivisible goods fairly under the connectivity constraints of a path. We prove that a connected division of indivisible items satisfying a discrete counterpart of envy-freeness, called envy-freeness up to one good (EF1), always exists for any number of agents n with monotone valuations. Our result settles an open question raised by BilÃ² et al. (2019), who proved that an EF1 connected division always exists for four agents with monotone valuations. Moreover, the proof can be extended to show the following (1) ``secretive"" and (2) ``extra"" versions: (1) for n agents with monotone valuations, the path can be divided into n connected bundles such that an EF1 assignment of the remaining bundles can be made to the other agents for any selection made by the â€œsecretive agentâ€? (2) for n+1 agents with monotone valuations, the path can be divided into n connected bundles such that when any ``extra agentâ€?leaves, an EF1 assignment of the bundles can be made to the remaining agents.","[""GTEP: Fair Division"", ""GTEP: Social Choice / Voting""]","[""Ayumi Igarashi""]",https://ojs.aaai.org/index.php/AAAI/article/view/25705/25477,AAAI
Improving Interpretability of Deep Sequential Knowledge Tracing Models with Question-centric Cognitive Representations,"Knowledge tracing (KT) is a crucial technique to predict studentsâ€?future performance by observing their historical learning processes. Due to the powerful representation ability of deep neural networks, remarkable progress has been made by using deep learning techniques to solve the KT problem. The majority of existing approaches rely on the homogeneous question assumption that questions have equivalent contributions if they share the same set of knowledge components. Unfortunately, this assumption is inaccurate in real-world educational scenarios. Furthermore, it is very challenging to interpret the prediction results from the existing deep learning based KT models. Therefore, in this paper, we present QIKT, a question-centric interpretable KT model to address the above challenges. The proposed QIKT approach explicitly models studentsâ€?knowledge state variations at a ï¬�ne-grained level with question-sensitive cognitive representations that are jointly learned from a question-centric knowledge acquisition module and a question-centric problem solving module. Meanwhile, the QIKT utilizes an item response theory based prediction layer to generate interpretable prediction results. The proposed QIKT model is evaluated on three public real-world educational datasets. The results demonstrate that our approach is superior on the KT prediction task, and it outperforms a wide range of deep learning based KT models in terms of prediction accuracy with better model interpretability. To encourage reproducible results, we have provided all the datasets and code at https://pykt.org/.","[""General""]","[""Jiahao Chen"", ""Zitao Liu"", ""Shuyan Huang"", ""Qiongqiong Liu"", ""Weiqi Luo""]",https://ojs.aaai.org/index.php/AAAI/article/view/26661/26433,AAAI
Semi-Supervised Deep Regression with Uncertainty Consistency and Variational Model Ensembling via Bayesian Neural Networks,"Deep regression is an important problem with numerous applications. These range from computer vision tasks such as age estimation from photographs, to medical tasks such as ejection fraction estimation from echocardiograms for disease tracking.
Semi-supervised approaches for deep regression are notably under-explored compared to classification and segmentation tasks, however.
Unlike classification tasks, which rely on thresholding functions for generating class pseudo-labels, regression tasks use real number target predictions directly as pseudo-labels, making them more sensitive to prediction quality.
In this work, we propose a novel approach to semi-supervised regression, namely Uncertainty-Consistent Variational Model Ensembling (UCVME), which improves training by generating high-quality pseudo-labels and uncertainty estimates for heteroscedastic regression.
Given that aleatoric uncertainty is only dependent on input data by definition and should be equal for the same inputs, we present a novel uncertainty consistency loss for co-trained models.
Our consistency loss significantly improves uncertainty estimates and allows higher quality pseudo-labels to be assigned greater importance under heteroscedastic regression.
Furthermore, we introduce a novel variational model ensembling approach to reduce prediction noise and generate more robust pseudo-labels. We analytically show our method generates higher quality targets for unlabeled data and further improves training.
Experiments show that our method outperforms state-of-the-art alternatives on different tasks and can be competitive with supervised methods that use full labels. Code is available at https://github.com/xmed-lab/UCVME.","[""ML: Semi-Supervised Learning"", ""CV: Learning & Optimization for CV"", ""CV: Medical and Biological Imaging"", ""APP: Healthcare"", ""Medicine & Wellness"", ""ML: Bayesian Learning"", ""ML: Classification and Regression"", ""ML: Deep Neural Network Algorithms"", ""RU: Bayesian Networks""]","[""Weihang Dai"", ""Xiaomeng Li"", ""Kwang-Ting Cheng""]",https://ojs.aaai.org/index.php/AAAI/article/view/25890/25662,AAAI
Personalized Dialogue Generation with Persona-Adaptive Attention,"Persona-based dialogue systems aim to generate consistent responses based on historical context and predefined persona. Unlike conventional dialogue generation, the persona-based dialogue needs to consider both dialogue context and persona, posing a challenge for coherent training. Specifically, this requires a delicate weight balance between context and persona. To achieve that, in this paper, we propose an effective framework with Persona-Adaptive Attention (PAA), which adaptively integrates the weights from the persona and context information via our designed attention. In addition, a dynamic masking mechanism is applied to the PAA to not only drop redundant information in context and persona but also serve as a regularization mechanism to avoid overfitting. Experimental results demonstrate the superiority of the proposed PAA framework compared to the strong baselines in both automatic and human evaluation. Moreover, the proposed PAA approach can perform equivalently well in a low-resource regime compared to models trained in a full-data setting, which achieve a similar result with only 20% to 30% of data compared to the larger models trained in the full-data setting. To fully exploit the effectiveness of our design, we designed several variants for handling the weighted information in different ways, showing the necessity and sufficiency of our weighting and masking designs.","[""SNLP: Conversational AI/Dialogue Systems"", ""SNLP: Applications""]","[""Qiushi Huang"", ""Yu Zhang"", ""Tom Ko"", ""Xubo Liu"", ""Bo Wu"", ""Wenwu Wang"", ""H Tang""]",https://ojs.aaai.org/index.php/AAAI/article/view/26518/26290,AAAI
Model-Based Offline Reinforcement Learning with Local Misspecification,"We present a model-based offline reinforcement learning policy performance lower bound that explicitly captures dynamics model misspecification and distribution mismatch and we propose an empirical algorithm for optimal offline policy selection. Theoretically, we prove a novel safe policy improvement theorem by establishing pessimism approximations to the value function. Our key insight is to jointly consider selecting over dynamics models and policies: as long as a dynamics model can accurately represent the dynamics of the state-action pairs visited by a given policy, it is possible to approximate the value of that particular policy. We analyze our lower bound in the LQR setting and also show competitive performance to previous lower bounds on policy selection across a set of D4RL tasks.","[""ML: Reinforcement Learning Theory"", ""ML: Reinforcement Learning Algorithms""]","[""Kefan Dong"", ""Yannis Flet-Berliac"", ""Allen Nie"", ""Emma Brunskill""]",https://ojs.aaai.org/index.php/AAAI/article/view/25903/25675,AAAI
Occupancy Planes for Single-View RGB-D Human Reconstruction,"Single-view RGB-D human reconstruction with implicit functions is often formulated as per-point classification. Specifically,  a set of 3D locations within the view-frustum of the camera are first projected independently onto the image and a corresponding feature is subsequently extracted for each 3D location. The feature of each 3D location is then used to classify independently whether the corresponding 3D point is inside or outside the observed object. This procedure leads to sub-optimal results because correlations between predictions for neighboring locations are only taken into account implicitly via the extracted features. For more accurate results we propose the occupancy planes (OPlanes) representation, which enables to formulate single-view RGB-D human reconstruction as occupancy prediction on planes which slice through the camera's view frustum. Such a representation provides more flexibility than voxel grids and enables to better leverage correlations than per-point classification. On the challenging S3D data we observe a simple classifier based on the OPlanes representation to yield compelling results, especially in difficult situations with partial occlusions due to other objects and partial visibility, which haven't been addressed by prior work.","[""CV: 3D Computer Vision""]","[""Xiaoming Zhao"", ""Yuan-Ting Hu"", ""Zhongzheng Ren"", ""Alexander G. Schwing""]",https://ojs.aaai.org/index.php/AAAI/article/view/25474/25246,AAAI
Emergent Quantized Communication,"The field of emergent communication aims to understand the characteristics of communication as it emerges from artificial agents solving tasks that require information exchange. Communication with discrete messages is considered a desired characteristic, for scientific and applied reasons. However,  training a multi-agent system with discrete communication is not straightforward, requiring either reinforcement learning algorithms or relaxing the discreteness requirement via a continuous approximation such as the Gumbel-softmax. Both these solutions result in poor performance compared to fully continuous communication. In this work, we propose an alternative approach to achieve discrete communication -- quantization of communicated message. Using message quantization allows us to train the model end-to-end, achieving superior performance in multiple setups. Moreover, quantization is a natural framework that runs the gamut from continuous to discrete communication. Thus,  it sets the ground for a broader view of multi-agent communication in the deep learning era.","[""MAS: Agent Communication"", ""ML: Applications"", ""ML: Deep Neural Architectures"", ""ML: Representation Learning"", ""MAS: Agent-Based Simulation and Emergent Behavior"", ""MAS: Coordination and Collaboration"", ""MAS: Distributed Problem Solving""]","[""Boaz Carmeli"", ""Ron Meir"", ""Yonatan Belinkov""]",https://ojs.aaai.org/index.php/AAAI/article/view/26363/26135,AAAI
A Set of Control Points Conditioned Pedestrian Trajectory Prediction,"Predicting the trajectories of pedestrians in crowded conditions is an important task for applications like autonomous navigation systems. Previous studies have tackled this problem using two strategies. They (1) infer all future steps recursively, or (2) predict the potential destinations of pedestrians at once and interpolate the intermediate steps to arrive there. However, these strategies often suffer from the accumulated errors of the recursive inference, or restrictive assumptions about social relations in the intermediate path. In this paper, we present a graph convolutional network-based trajectory prediction. Firstly, we propose a control point prediction that divides the future path into three sections and infers the intermediate destinations of pedestrians to reduce the accumulated error. To do this, we construct multi-relational weighted graphs to account for their physical and complex social relations. We then introduce a trajectory refinement step based on a spatio-temporal and multi-relational graph. By considering the social interactions between neighbors, better prediction results are achievable. In experiments, the proposed network achieves state-of-the-art performance on various real-world trajectory prediction benchmarks.","[""ROB: Motion and Path Planning"", ""ROB: Behavior Learning & Control"", ""ROB: Multi-Robot Systems"", ""CV: Motion & Tracking""]","[""Inhwan Bae"", ""Hae-Gon Jeon""]",https://ojs.aaai.org/index.php/AAAI/article/view/25759/25531,AAAI
Self-Supervised Logic Induction for Explainable Fuzzy Temporal Commonsense Reasoning,"Understanding temporal commonsense concepts, such as times of occurrence and durations is crucial for event-centric language understanding. Reasoning about such temporal concepts in a complex context requires reasoning over both the stated context and the world knowledge that underlines it. A recent study shows massive pre-trained LM still struggle with such temporal reasoning under complex contexts (e.g., dialog) because they only implicitly encode the relevant contexts and fail to explicitly uncover the underlying logical compositions for complex inference, thus may not be robust enough. In this work, we propose to augment LMs with the temporal logic induction ability, which frames the temporal reasoning by defining three modular components: temporal dependency inducer and temporal concept defuzzifier and logic validator. The former two components disentangle the explicit/implicit dependency between temporal concepts across context (before, after, ...) and the specific meaning of fuzzy temporal concepts, respectively, while the validator combines the intermediate reasoning clues for robust contextual reasoning about the temporal concepts. Extensive experimental results on TIMEDIAL, a challenging dataset for temporal reasoning over dialog, show that our method, Logic Induction Enhanced Contextualized TEmporal Reasoning (LECTER), can yield great improvements over the traditional language model for temporal reasoning.","[""SNLP: Applications"", ""SNLP: Sentence-Level Semantics and Textual Inference""]","[""Bibo Cai"", ""Xiao Ding"", ""Zhouhao Sun"", ""Bing Qin"", ""Ting Liu"", ""Baojun wang"", ""Lifeng Shang""]",https://ojs.aaai.org/index.php/AAAI/article/view/26481/26253,AAAI
